title,artist,album,duration_ms,preview_url,cover_art
Sweet Boy,Malcolm Todd,,180000,,
fall in love with a girl (feat. Beabadoobee),"Cavetown, beabadoobee",,190853,,
Juna,Clairo,,195109,,
This Is How It Feels (with Laufey),"d4vd, Laufey",,284305,,
Backyard Boy,Claire Rosinkranz,,129240,,
Maniac,Conan Gray,,185773,,
I Think I Left the Stove On,Hotel Ugly,,202490,,
You Make Me Feel,EASHA,,186562,,
In My Mind,Lyn Lapid,,162794,,
Mariposa,Peach Tree Rascals,,210000,,
Here With Me,d4vd,,242484,,
all i ask,"Palmer, Tori Templet",,187590,,
Metamodernity,Vansire,,162663,,
Telephones,Vacations,,212432,,
Let You Break My Heart Again,"Laufey, Philharmonia Orchestra",,269066,,
Love You Anyway,The Marías,,237133,,
Oh Honey! (I Love You),Peach Tree Rascals,,189993,,
Once More,d4vd,,121695,,
Good Day,Surfaces,,173230,,
Is there free breakfast here?,Hotel Ugly,,129199,,
Loverboy,A-Wall,,224520,,
Mrs Magic,Strawberry Guy,,208500,,
Amoeba,Clairo,,228922,,
Bossa No Sé (feat. Jean Carter),"Cuco, Jean Carter",,201263,,
Summertime,Public Library Commute,,180000,,
Sunday Best,Surfaces,,158947,,
Beanie,Chezile,,132160,,
All My Friends Know,PinkPantheress,,118813,,
Dancing with my phone,HYBS,,203532,,
Nothing,Bruno Major,,162797,,
Sailor Song,Gigi Perez,,211978,,
My Favourite Clothes,RINI,,257000,,
That I Miss You,Vansire,,140116,,
Stress Relief,late night drive home,,205714,,
Attracted to You,PinkPantheress,,67638,,
Notion,The Rare Occasions,,195120,,
Sheesh!,"Surfaces, Tai Verdes",,148846,,
You’re here that’s the thing,beabadoobee,,198600,,
Real Life,The Marías,,206973,,
Night Vision,"Vansire, Barrie",,117733,,
spin you round,Rocco,,126610,,
Placebo Effect,d4vd,,191493,,
That's Life,Still Woozy,,147653,,
Piggypink,Hotel Ugly,,160000,,
Infrunami,Steve Lacy,,178328,,
Sienna,The Marías,,224840,,
Just the Right Song,Vansire,,186253,,
Evergreen (You Didn’t Deserve Me At All),Omar Apollo,,216680,,
Good Intentions,RINI,,215266,,
Play Pretend,"jomm, readyaimfire27",,226829,,
